,date,price,10SMA,30SMA
92,2023-04-20 17:00:00,19.7729,19.834235,19.887338333333332
93,2023-04-20 18:00:00,19.7747,19.817655000000002,19.881748333333334
94,2023-04-20 19:00:00,19.78865,19.80451,19.87822
95,2023-04-20 20:00:00,19.7681,19.794114999999998,19.875693333333334
96,2023-04-20 21:15:00,19.7589,19.782850000000003,19.871845
97,2023-04-20 22:00:00,19.765,19.77632,19.867478333333334
98,2023-04-20 23:00:00,19.7653,19.7714,19.862798333333334
99,2023-04-21 00:00:00,19.7625,19.77186,19.85785333333333
100,2023-04-21 01:00:00,19.7661,19.770085,19.853345
101,2023-04-21 02:00:00,19.75495,19.76771,19.84795666666667
102,2023-04-21 03:00:00,19.776,19.76802,19.84325
103,2023-04-21 04:00:00,19.77575,19.768125,19.838968333333334
104,2023-04-21 05:00:00,19.79615,19.768875,19.835413333333335
105,2023-04-21 06:00:00,19.7932,19.771385000000002,19.830879999999997
106,2023-04-21 07:00:00,19.8303,19.778525,19.827495000000003
107,2023-04-21 08:00:00,19.85805,19.78783,19.824906666666667
108,2023-04-21 09:00:00,19.8835,19.79965,19.82302333333333
109,2023-04-21 10:00:00,19.87145,19.810544999999998,19.82088333333333
110,2023-04-21 11:00:00,19.90255,19.824189999999998,19.819578333333332
111,2023-04-21 12:00:00,19.8923,19.837925,19.818393333333333
